,ASIN,LQS_Score,Long_Title,Full_Bullets,Detailed_Bullets,Many_Images,Has_Video,Has_Reviews_20+,High_Rating,Price,Monthly Revenue,Monthly Sales,Review Count,Reviews Rating,Optimization_Group,Keyword_Coverage_Count,Avg_Organic_Rank,Weighted_Organic_Rank
1,B00NBW36YG,10,yes,yes,yes,yes,yes,yes,yes,13.42,23658.06,1512,1121,4.2,1,266,113.53,129.74
2,B08VTY4PQM,8.7,yes,yes,no,yes,no,yes,yes,26.89,1647.24,54,183,4.2,1,219,109.95,135.57
3,B0CKBMQ5TF,9.5,yes,yes,yes,yes,yes,yes,yes,14.88,2970.47,235,541,4.5,1,521,72.77,122.63
4,B0CQPLKCHH,7.7,no,yes,no,yes,no,yes,yes,10.84,2475.04,192,565,4,1,187,90.51,126.45
5,B00NF8Z8TW,7.7,no,yes,no,yes,yes,yes,yes,9.96,28168.83,2570,2602,4.2,1,415,56.88,44.77
6,B0B24WTZ9Y,8.6,no,yes,yes,yes,yes,yes,yes,10.08,3012.13,256,234,4.1,1,243,78.42,81.09
7,B0C77N84BT,8.2,yes,yes,yes,yes,no,yes,no,9.24,5669.46,511,80,3.8,1,161,100.62,132.46
8,B0D251Z34G,8.9,no,yes,no,yes,yes,yes,yes,10.99,1283.25,126,45,4.7,1,180,75.98,138.22
9,B0C5CT8V8V,8.2,no,yes,yes,yes,no,yes,yes,11.83,49178.12,4130,213,4.3,1,316,57.66,43.93
10,B0CFR7KQ7Z,10,yes,yes,yes,yes,yes,yes,yes,16,23658.06,1512,1121,4.2,1,266,113.53,129.74
11,B001PBRZAG,7.2,no,yes,no,yes,no,yes,yes,11.56,2807.34,203,649,4.4,1,547,98.67,113.39
12,B017KQGL8Q,6.9,no,yes,no,yes,no,yes,yes,12.56,14055.38,961,3021,4,1,320,70.75,69.17
13,B0C5M8JNT9,6.1,no,yes,no,yes,no,yes,yes,27.73,7246.42,210,1285,4.6,1,234,142.55,153.18
14,B0B24WCGNZ,8.6,no,yes,yes,yes,yes,yes,yes,14.99,3694.83,244,131,4.2,1,264,80.22,110.73
15,B0071ACE8S,6.7,no,yes,no,yes,no,yes,yes,8.59,1580.02,173,354,4.1,1,176,106.55,124.96
16,B0DDXJCKZG,8.1,no,yes,yes,yes,no,yes,yes,13.99,10094.71,760,447,4.3,1,488,31.27,37.18
17,B00NBW3C40,10,yes,yes,yes,yes,yes,yes,yes,13.43,23658.06,1512,1121,4.2,1,266,113.53,129.74
18,B0864HQNBH,7.4,no,no,no,yes,no,yes,yes,13.31,12641.98,882,633,4.2,1,383,65.03,78.91
19,B001NLHJC2,7.2,no,yes,no,yes,no,yes,yes,12.17,8869.34,768,649,4.4,1,547,98.67,113.39
20,B0BHJCYD51,6.6,no,yes,no,yes,no,yes,yes,9.99,4795.39,480,472,4.3,0,249,99.19,123.04
21,B0D23417KR,4.4,no,no,no,yes,no,no,no,14.8,59.2,4,3,3.6,0,17,157.94,226.33
22,B007Q3FN6K,7,no,yes,no,yes,no,yes,yes,7.99,2274.57,299,512,4.2,0,283,80.7,68.91
23,B0BF6GTN3M,4.7,no,no,no,yes,no,yes,no,9.99,192.46,19,23,3.9,0,75,91.72,199.29
24,B0DKJ1YJV1,6.2,no,yes,no,yes,no,no,no,12.99,206.75,16,4,3.5,0,88,101.5,153.73
25,B005XBIOFO,3.4,no,yes,no,yes,no,yes,no,7.95,48.27,6,40,3.3,0,20,92.9,76.93
26,B007K6CBZO,6.8,no,yes,no,yes,no,yes,yes,15.13,10634.95,542,308,4.1,0,412,118.69,169.57
27,B0CDTTH4JW,7.4,no,no,yes,yes,no,yes,yes,8.99,4182.93,485,125,4.5,0,644,44.17,76.56
28,B079BT3TXR,5.9,no,no,no,yes,no,yes,yes,20.19,1342.36,103,1745,4.4,0,128,108.08,157.02
29,B0CC3Y9GQY,7.1,no,yes,no,yes,no,yes,yes,7.22,382.66,53,35,4.1,0,96,117.99,149.43
30,B079TQ8173,6.5,no,no,no,yes,no,yes,yes,6.68,1730.54,218,276,4.4,0,212,60.39,75.2
31,B00YPC2KZ2,5.2,no,yes,no,yes,no,yes,no,11.72,1722,147,114,3.9,0,111,110.23,161.08
32,B0CXR63NKZ,7.9,yes,yes,no,yes,yes,no,no,12.04,0,0,0,0,0,165,122.69,157.76
33,B0B6P4GLDR,7.6,no,yes,no,yes,no,yes,yes,10.08,289.85,24,70,4,0,34,118.47,148.21
34,B0DHHDN46B,5.6,no,yes,no,yes,yes,no,no,16.41,0,0,0,0,0,54,96.89,167.3
35,B09LD6SC1R,6,no,yes,no,yes,no,no,no,11.99,31.46,3,19,3.2,0,58,174.12,216.68
36,B0DMVP8R8L,6.4,no,yes,yes,yes,no,no,no,14.99,795.68,53,5,3.7,0,37,72.05,72.17
37,B0DBHZGYY6,4.7,no,yes,no,yes,no,no,no,12.6,0,21,0,0,0,68,147.66,191.19
38,B0D7MH9MQW,4,no,no,no,yes,no,no,no,10.33,198.29,19,0,0,0,75,136.57,149.67
